name,category,age_bracket,focus_duration,play_mode,interest_fit,price
Fine Motor Bead Set #5,Motor Skills,3-6 years,5-10 minutes,independent,fantasy and adventure,106.47
Jump Rope #6,Motor Skills,0-3 years,5-10 minutes,independent,animals and nature,106.48
Rolling Push Walker #7,Motor Skills,6-9 years,15-30 minutes,independent,fantasy and adventure,69.61
Rolling Push Walker #8,Motor Skills,3-6 years,5-10 minutes,social,fantasy and adventure,37.17
Wooden Hammer Bench #9,Motor Skills,3-6 years,5-10 minutes,social,creative arts and expression,47.92
Hopscotch Mat #10,Motor Skills,3-6 years,5-10 minutes,independent,fantasy and adventure,63.55
Coordination Ball Set #11,Motor Skills,0-3 years,5-10 minutes,social,creative arts and expression,64.72
Lacing Beads Set #12,Motor Skills,3-6 years,15-30 minutes,independent,fantasy and adventure,41.63
Buttoning Practice Doll #13,Motor Skills,9-12 years,30+ minutes,independent,creative arts and expression,63.34
Coordination Ball Set #14,Motor Skills,3-6 years,15-30 minutes,independent,animals and nature,47.36
Climbing Soft Blocks #15,Motor Skills,9-12 years,30+ minutes,social,fantasy and adventure,105.29
Stacking Rings #16,Motor Skills,3-6 years,5-10 minutes,social,fantasy and adventure,71.43
Shape Sorter Classic #17,Motor Skills,3-6 years,5-10 minutes,social,fantasy and adventure,94.08
Buttoning Practice Doll #18,Motor Skills,0-3 years,5-10 minutes,independent,fantasy and adventure,17.64
Stacking Rings #19,Motor Skills,3-6 years,15-30 minutes,independent,animals and nature,52.19
Wooden Hammer Bench #20,Motor Skills,9-12 years,30+ minutes,social,animals and nature,86.16
Coordination Ball Set #21,Motor Skills,0-3 years,5-10 minutes,social,fantasy and adventure,48.33
Catch & Throw Set #22,Motor Skills,3-6 years,15-30 minutes,social,fantasy and adventure,93.78
Scooter for Kids #23,Motor Skills,3-6 years,5-10 minutes,independent,fantasy and adventure,39.33
Foam Pogo Jumper #24,Motor Skills,6-9 years,30+ minutes,social,creative arts and expression,41.46
Rolling Push Walker #25,Motor Skills,3-6 years,30+ minutes,social,creative arts and expression,19.02
Foot-Eye Coordination Game #26,Motor Skills,3-6 years,30+ minutes,social,animals and nature,38.4
Foam Pogo Jumper #27,Motor Skills,9-12 years,15-30 minutes,social,fantasy and adventure,34.49
Jump Rope #28,Motor Skills,0-3 years,15-30 minutes,independent,fantasy and adventure,85.06
Lacing Beads Set #29,Motor Skills,0-3 years,15-30 minutes,independent,animals and nature,82.03
Coordination Ball Set #30,Motor Skills,0-3 years,5-10 minutes,independent,creative arts and expression,87.5
Climbing Soft Blocks #31,Motor Skills,3-6 years,5-10 minutes,social,animals and nature,51.79
Jump Rope #32,Motor Skills,3-6 years,5-10 minutes,social,creative arts and expression,37.82
Shape Sorter Classic #33,Motor Skills,9-12 years,15-30 minutes,social,fantasy and adventure,89.95
Shape Sorter Classic #34,Motor Skills,9-12 years,15-30 minutes,social,animals and nature,112.4
Shape Sorter Classic #35,Motor Skills,9-12 years,30+ minutes,independent,fantasy and adventure,115.65
Foam Pogo Jumper #36,Motor Skills,6-9 years,5-10 minutes,social,animals and nature,111.77
Hopscotch Mat #37,Motor Skills,0-3 years,30+ minutes,social,creative arts and expression,107.26
Lacing Beads Set #38,Motor Skills,6-9 years,15-30 minutes,independent,animals and nature,43.03
Finger Painting Easel #39,Motor Skills,3-6 years,15-30 minutes,independent,creative arts and expression,95.94
Motor Skills Puzzle #40,Motor Skills,3-6 years,5-10 minutes,social,fantasy and adventure,108.16
Toddler Gym Set #41,Motor Skills,3-6 years,5-10 minutes,social,animals and nature,117.89
Jump Rope #42,Motor Skills,3-6 years,5-10 minutes,independent,animals and nature,56.37
Scooter for Kids #43,Motor Skills,9-12 years,30+ minutes,social,animals and nature,35.08
Rolling Push Walker #44,Motor Skills,3-6 years,5-10 minutes,independent,creative arts and expression,23.37
Coordination Ball Set #45,Motor Skills,9-12 years,30+ minutes,social,fantasy and adventure,18.5
Foam Pogo Jumper #46,Motor Skills,3-6 years,5-10 minutes,social,creative arts and expression,22.62
Wooden Hammer Bench #47,Motor Skills,3-6 years,15-30 minutes,social,fantasy and adventure,97.23
Fine Motor Bead Set #48,Motor Skills,6-9 years,30+ minutes,social,animals and nature,65.43
Coordination Ball Set #49,Motor Skills,6-9 years,5-10 minutes,social,animals and nature,100.31
Coordination Ball Set #50,Motor Skills,0-3 years,5-10 minutes,independent,fantasy and adventure,55.81
Fine Motor Bead Set #51,Motor Skills,6-9 years,15-30 minutes,social,creative arts and expression,98
Finger Painting Easel #52,Motor Skills,0-3 years,5-10 minutes,social,fantasy and adventure,58.17
Foam Pogo Jumper #53,Motor Skills,6-9 years,15-30 minutes,social,fantasy and adventure,30.06
Balance Bike #54,Motor Skills,0-3 years,5-10 minutes,independent,animals and nature,112.48
Balance Bike #55,Motor Skills,9-12 years,30+ minutes,independent,animals and nature,93.43
Toddler Gym Set #56,Motor Skills,3-6 years,30+ minutes,independent,creative arts and expression,48.2
Foot-Eye Coordination Game #57,Motor Skills,0-3 years,15-30 minutes,independent,fantasy and adventure,50.2
Lacing Beads Set #58,Motor Skills,6-9 years,15-30 minutes,independent,animals and nature,117.53
Finger Painting Easel #59,Motor Skills,3-6 years,15-30 minutes,social,animals and nature,33.46
Rolling Push Walker #60,Motor Skills,0-3 years,5-10 minutes,social,animals and nature,8.7
Toddler Gym Set #61,Motor Skills,3-6 years,30+ minutes,social,animals and nature,28.7
Climbing Soft Blocks #62,Motor Skills,3-6 years,15-30 minutes,social,animals and nature,33.14
Shape Sorter Classic #63,Motor Skills,3-6 years,5-10 minutes,independent,animals and nature,21.12
Foam Pogo Jumper #64,Motor Skills,0-3 years,15-30 minutes,social,fantasy and adventure,73.76
Hopscotch Mat #65,Motor Skills,0-3 years,15-30 minutes,social,fantasy and adventure,30.42
Foam Pogo Jumper #66,Motor Skills,0-3 years,5-10 minutes,social,fantasy and adventure,109.83
Toddler Gym Set #67,Motor Skills,3-6 years,5-10 minutes,independent,fantasy and adventure,82.2
Coordination Ball Set #68,Motor Skills,3-6 years,15-30 minutes,independent,creative arts and expression,26.15
Foot-Eye Coordination Game #69,Motor Skills,3-6 years,15-30 minutes,independent,fantasy and adventure,21.6
Finger Painting Easel #70,Motor Skills,9-12 years,30+ minutes,social,fantasy and adventure,65.95
Buttoning Practice Doll #71,Motor Skills,0-3 years,5-10 minutes,social,creative arts and expression,102.42
Balance Bike #72,Motor Skills,3-6 years,15-30 minutes,independent,creative arts and expression,82.47
Wooden Hammer Bench #73,Motor Skills,0-3 years,5-10 minutes,social,fantasy and adventure,88.3
Foot-Eye Coordination Game #74,Motor Skills,0-3 years,5-10 minutes,social,creative arts and expression,115.06
Stacking Rings #75,Motor Skills,0-3 years,5-10 minutes,social,fantasy and adventure,119.95
Jump Rope #76,Motor Skills,9-12 years,30+ minutes,social,creative arts and expression,110.24
Foot-Eye Coordination Game #77,Motor Skills,3-6 years,5-10 minutes,independent,fantasy and adventure,46.31
Scooter for Kids #78,Motor Skills,3-6 years,30+ minutes,independent,fantasy and adventure,58.99
Hopscotch Mat #79,Motor Skills,9-12 years,30+ minutes,independent,fantasy and adventure,104.37
Lacing Beads Set #80,Motor Skills,0-3 years,5-10 minutes,social,fantasy and adventure,53.02
Lacing Beads Set #81,Motor Skills,0-3 years,5-10 minutes,social,animals and nature,62.42
Hopscotch Mat #82,Motor Skills,0-3 years,15-30 minutes,social,fantasy and adventure,90.05
Finger Painting Easel #83,Motor Skills,0-3 years,15-30 minutes,independent,fantasy and adventure,67.85
Catch & Throw Set #84,Motor Skills,9-12 years,30+ minutes,social,animals and nature,65.25
Balance Bike #85,Motor Skills,9-12 years,30+ minutes,social,creative arts and expression,20.81
Obstacle Course Kit #86,Motor Skills,0-3 years,5-10 minutes,independent,creative arts and expression,47.92
Wooden Hammer Bench #87,Motor Skills,3-6 years,30+ minutes,social,fantasy and adventure,61.1
Stacking Rings #88,Motor Skills,3-6 years,15-30 minutes,independent,fantasy and adventure,36.6
Foam Pogo Jumper #89,Motor Skills,0-3 years,15-30 minutes,social,animals and nature,17.31
Climbing Soft Blocks #90,Motor Skills,3-6 years,5-10 minutes,social,creative arts and expression,98.75
Scooter for Kids #91,Motor Skills,6-9 years,5-10 minutes,social,creative arts and expression,69.98
Obstacle Course Kit #92,Motor Skills,0-3 years,15-30 minutes,independent,fantasy and adventure,92.35
Balance Bike #93,Motor Skills,3-6 years,5-10 minutes,independent,fantasy and adventure,6.09
Catch & Throw Set #94,Motor Skills,0-3 years,15-30 minutes,social,creative arts and expression,70.07
Climbing Soft Blocks #95,Motor Skills,6-9 years,30+ minutes,independent,fantasy and adventure,107.07
Jump Rope #96,Motor Skills,0-3 years,15-30 minutes,social,creative arts and expression,108.42
Motor Skills Puzzle #97,Motor Skills,3-6 years,5-10 minutes,social,animals and nature,115.57
Motor Skills Puzzle #98,Motor Skills,0-3 years,15-30 minutes,social,animals and nature,39.42
Motor Skills Puzzle #99,Motor Skills,0-3 years,15-30 minutes,independent,fantasy and adventure,43.15
Lacing Beads Set #100,Motor Skills,6-9 years,30+ minutes,independent,fantasy and adventure,117.05
Remote Helicopter #1,Electronic/Tech,3-6 years,5-10 minutes,independent,fantasy and adventure,93.44
Electric Train Set #2,Electronic/Tech,6-9 years,30+ minutes,independent,creative arts and expression,95.11
Robotic Arm Kit #3,Electronic/Tech,6-9 years,15-30 minutes,social,creative arts and expression,26.36
Talking Map #4,Electronic/Tech,6-9 years,5-10 minutes,social,animals and nature,87.01
Interactive Robot Dog #5,Electronic/Tech,6-9 years,15-30 minutes,social,animals and nature,90.06
Light-Up Race Track #6,Electronic/Tech,6-9 years,5-10 minutes,social,creative arts and expression,46.39
Voice Recorder Toy #7,Electronic/Tech,3-6 years,5-10 minutes,independent,fantasy and adventure,68.8
AR Learning Cards #8,Electronic/Tech,3-6 years,5-10 minutes,social,fantasy and adventure,73.78
Light-Up Race Track #9,Electronic/Tech,9-12 years,5-10 minutes,independent,animals and nature,88.36
Laser Maze Game #10,Electronic/Tech,9-12 years,30+ minutes,social,animals and nature,83.81
Smart Watch for Kids #11,Electronic/Tech,3-6 years,5-10 minutes,social,animals and nature,24.23
Voice Recorder Toy #12,Electronic/Tech,6-9 years,15-30 minutes,independent,creative arts and expression,113.59
Bluetooth Karaoke Mic #13,Electronic/Tech,6-9 years,15-30 minutes,independent,creative arts and expression,5.78
Motion Sensor Game #14,Electronic/Tech,6-9 years,30+ minutes,social,creative arts and expression,55.63
AR Learning Cards #15,Electronic/Tech,9-12 years,30+ minutes,social,animals and nature,39.55
Electric Train Set #16,Electronic/Tech,9-12 years,15-30 minutes,independent,creative arts and expression,116.4
Programmable Robot #17,Electronic/Tech,9-12 years,30+ minutes,social,animals and nature,42.48
Voice Recorder Toy #18,Electronic/Tech,9-12 years,30+ minutes,independent,fantasy and adventure,27.98
Laser Maze Game #19,Electronic/Tech,3-6 years,15-30 minutes,independent,fantasy and adventure,58.09
Drone for Beginners #20,Electronic/Tech,6-9 years,15-30 minutes,social,creative arts and expression,82.39
Glow Keyboard Toy #21,Electronic/Tech,6-9 years,15-30 minutes,social,fantasy and adventure,53.66
Motion Sensor Game #22,Electronic/Tech,3-6 years,30+ minutes,social,creative arts and expression,66.45
AR Learning Cards #23,Electronic/Tech,6-9 years,30+ minutes,independent,fantasy and adventure,73.29
Interactive Robot Dog #24,Electronic/Tech,3-6 years,5-10 minutes,social,animals and nature,79.4
Remote Helicopter #25,Electronic/Tech,6-9 years,30+ minutes,social,creative arts and expression,116.06
AR Learning Cards #26,Electronic/Tech,3-6 years,5-10 minutes,independent,fantasy and adventure,64.66
Talking Map #27,Electronic/Tech,6-9 years,15-30 minutes,independent,creative arts and expression,93.82
Talking Map #28,Electronic/Tech,6-9 years,15-30 minutes,social,creative arts and expression,17.02
AR Learning Cards #29,Electronic/Tech,9-12 years,15-30 minutes,social,fantasy and adventure,21.29
Programmable Robot #30,Electronic/Tech,6-9 years,30+ minutes,social,creative arts and expression,59.76
Robotic Arm Kit #31,Electronic/Tech,9-12 years,30+ minutes,independent,animals and nature,98.17
Learning Tablet #32,Electronic/Tech,0-3 years,5-10 minutes,independent,animals and nature,111.94
Electronic Piano #33,Electronic/Tech,6-9 years,15-30 minutes,independent,creative arts and expression,115.22
Electronic Piano #34,Electronic/Tech,9-12 years,30+ minutes,independent,fantasy and adventure,54.7
RC Car Basic #35,Electronic/Tech,9-12 years,30+ minutes,independent,creative arts and expression,49.72
Drone for Beginners #36,Electronic/Tech,3-6 years,15-30 minutes,social,animals and nature,71.4
Laser Maze Game #37,Electronic/Tech,3-6 years,5-10 minutes,social,creative arts and expression,82.13
Bluetooth Karaoke Mic #38,Electronic/Tech,6-9 years,30+ minutes,social,fantasy and adventure,50.14
Learning Tablet #39,Electronic/Tech,6-9 years,30+ minutes,social,fantasy and adventure,86.19
Programmable Robot #40,Electronic/Tech,9-12 years,30+ minutes,social,creative arts and expression,18.55
Programmable Robot #41,Electronic/Tech,3-6 years,5-10 minutes,independent,creative arts and expression,53.1
Glow Keyboard Toy #42,Electronic/Tech,6-9 years,15-30 minutes,social,fantasy and adventure,84.74
Smart Watch for Kids #43,Electronic/Tech,6-9 years,15-30 minutes,independent,creative arts and expression,101.83
Electric Train Set #44,Electronic/Tech,3-6 years,5-10 minutes,independent,animals and nature,27.44
Motion Sensor Game #45,Electronic/Tech,9-12 years,30+ minutes,social,fantasy and adventure,61.55
Robotic Arm Kit #46,Electronic/Tech,6-9 years,5-10 minutes,independent,animals and nature,38.59
Voice Recorder Toy #47,Electronic/Tech,3-6 years,5-10 minutes,social,fantasy and adventure,90.39
Bluetooth Karaoke Mic #48,Electronic/Tech,6-9 years,15-30 minutes,independent,fantasy and adventure,99.68
Interactive Globe #49,Electronic/Tech,6-9 years,30+ minutes,social,creative arts and expression,67.83
AR Learning Cards #50,Electronic/Tech,3-6 years,15-30 minutes,social,creative arts and expression,105.6
Remote Helicopter #51,Electronic/Tech,6-9 years,15-30 minutes,social,creative arts and expression,104.51
Learning Tablet #52,Electronic/Tech,9-12 years,15-30 minutes,social,fantasy and adventure,84.25
Electric Train Set #53,Electronic/Tech,6-9 years,15-30 minutes,independent,animals and nature,98.56
Remote Helicopter #54,Electronic/Tech,6-9 years,15-30 minutes,social,animals and nature,42.22
Programmable Robot #55,Electronic/Tech,6-9 years,15-30 minutes,social,fantasy and adventure,98.75
Glow Keyboard Toy #56,Electronic/Tech,9-12 years,30+ minutes,social,creative arts and expression,104.71
Glow Keyboard Toy #57,Electronic/Tech,9-12 years,15-30 minutes,independent,creative arts and expression,100.28
Motion Sensor Game #58,Electronic/Tech,6-9 years,15-30 minutes,independent,creative arts and expression,48.14
Interactive Robot Dog #59,Electronic/Tech,6-9 years,30+ minutes,independent,fantasy and adventure,91.23
Interactive Globe #60,Electronic/Tech,6-9 years,15-30 minutes,social,fantasy and adventure,15.71
Robotic Arm Kit #61,Electronic/Tech,6-9 years,30+ minutes,social,fantasy and adventure,50.74
AR Learning Cards #62,Electronic/Tech,9-12 years,30+ minutes,independent,creative arts and expression,43.84
Talking Map #63,Electronic/Tech,3-6 years,30+ minutes,social,fantasy and adventure,92.66
Remote Helicopter #64,Electronic/Tech,3-6 years,15-30 minutes,social,animals and nature,111.88
Smart Watch for Kids #65,Electronic/Tech,6-9 years,5-10 minutes,social,animals and nature,119.5
Glow Keyboard Toy #66,Electronic/Tech,9-12 years,30+ minutes,social,creative arts and expression,15.73
Interactive Globe #67,Electronic/Tech,6-9 years,15-30 minutes,social,animals and nature,10.96
Programmable Robot #68,Electronic/Tech,9-12 years,30+ minutes,independent,animals and nature,85.93
RC Car Basic #69,Electronic/Tech,3-6 years,5-10 minutes,social,fantasy and adventure,83.2
RC Car Basic #70,Electronic/Tech,0-3 years,5-10 minutes,independent,creative arts and expression,84.81
Bluetooth Karaoke Mic #71,Electronic/Tech,3-6 years,5-10 minutes,social,animals and nature,16.87
Interactive Globe #72,Electronic/Tech,9-12 years,15-30 minutes,social,animals and nature,78.78
Glow Keyboard Toy #73,Electronic/Tech,3-6 years,15-30 minutes,social,animals and nature,55.61
Drone for Beginners #74,Electronic/Tech,6-9 years,15-30 minutes,independent,fantasy and adventure,55.87
Drone for Beginners #75,Electronic/Tech,3-6 years,5-10 minutes,social,fantasy and adventure,88.95
Interactive Globe #76,Electronic/Tech,9-12 years,30+ minutes,independent,creative arts and expression,79.13
Electronic Piano #77,Electronic/Tech,6-9 years,30+ minutes,social,fantasy and adventure,8.08
Programmable Robot #78,Electronic/Tech,3-6 years,15-30 minutes,independent,creative arts and expression,38.99
Remote Helicopter #79,Electronic/Tech,9-12 years,30+ minutes,independent,creative arts and expression,17.97
Bluetooth Karaoke Mic #80,Electronic/Tech,6-9 years,5-10 minutes,social,animals and nature,118.49
Light-Up Race Track #81,Electronic/Tech,3-6 years,30+ minutes,social,creative arts and expression,67.83
Smart Watch for Kids #82,Electronic/Tech,9-12 years,30+ minutes,social,animals and nature,72.55
RC Car Basic #83,Electronic/Tech,6-9 years,5-10 minutes,independent,creative arts and expression,63.26
Smart Puzzle Mat #84,Electronic/Tech,9-12 years,30+ minutes,independent,fantasy and adventure,66.7
Electric Train Set #85,Electronic/Tech,3-6 years,5-10 minutes,independent,animals and nature,117.05
Glow Keyboard Toy #86,Electronic/Tech,6-9 years,15-30 minutes,social,fantasy and adventure,83.32
Interactive Robot Dog #87,Electronic/Tech,6-9 years,15-30 minutes,social,animals and nature,11.66
Interactive Robot Dog #88,Electronic/Tech,9-12 years,15-30 minutes,social,animals and nature,40.57
Smart Watch for Kids #89,Electronic/Tech,3-6 years,15-30 minutes,social,animals and nature,62.09
Interactive Globe #90,Electronic/Tech,6-9 years,30+ minutes,social,animals and nature,47.76
Voice Recorder Toy #91,Electronic/Tech,9-12 years,15-30 minutes,social,creative arts and expression,97.82
Voice Recorder Toy #92,Electronic/Tech,6-9 years,15-30 minutes,social,fantasy and adventure,13.86
Robotic Arm Kit #93,Electronic/Tech,6-9 years,5-10 minutes,social,animals and nature,47.28
Voice Recorder Toy #94,Electronic/Tech,9-12 years,30+ minutes,social,animals and nature,31.27
Smart Puzzle Mat #95,Electronic/Tech,0-3 years,15-30 minutes,independent,animals and nature,59.25
Motion Sensor Game #96,Electronic/Tech,9-12 years,15-30 minutes,social,animals and nature,68.58
AR Learning Cards #97,Electronic/Tech,3-6 years,5-10 minutes,social,creative arts and expression,36.19
Interactive Robot Dog #98,Electronic/Tech,6-9 years,15-30 minutes,social,animals and nature,25.62
Smart Puzzle Mat #99,Electronic/Tech,9-12 years,30+ minutes,independent,creative arts and expression,104.59
Programmable Robot #100,Electronic/Tech,6-9 years,15-30 minutes,independent,animals and nature,38.53
Problem Solving Cards #1,Educational/Cognitive,6-9 years,15-30 minutes,social,creative arts and expression,119.75
Counting Beads #2,Educational/Cognitive,6-9 years,15-30 minutes,social,animals and nature,5.73
Brain Teaser Pack #3,Educational/Cognitive,0-3 years,5-10 minutes,social,fantasy and adventure,105.88
STEM Logic Tiles #4,Educational/Cognitive,0-3 years,5-10 minutes,social,fantasy and adventure,40.36
Counting Beads #5,Educational/Cognitive,3-6 years,5-10 minutes,social,animals and nature,116.84
Shape Sorting Board #6,Educational/Cognitive,6-9 years,5-10 minutes,social,fantasy and adventure,52.5
Story Sequencing Set #7,Educational/Cognitive,3-6 years,15-30 minutes,social,fantasy and adventure,20.35
Color & Shape Bingo #8,Educational/Cognitive,0-3 years,5-10 minutes,social,animals and nature,32.23
Early Math Board #9,Educational/Cognitive,9-12 years,30+ minutes,social,fantasy and adventure,42.52
Tangram Starter #10,Educational/Cognitive,3-6 years,5-10 minutes,independent,fantasy and adventure,17.53
Memory Matching Game #11,Educational/Cognitive,0-3 years,5-10 minutes,social,fantasy and adventure,46.2
Counting Beads #12,Educational/Cognitive,3-6 years,15-30 minutes,social,animals and nature,23.13
Problem Solving Cards #13,Educational/Cognitive,6-9 years,30+ minutes,independent,creative arts and expression,22.06
Phonics Flashcards #14,Educational/Cognitive,9-12 years,30+ minutes,independent,creative arts and expression,34.92
Pattern Blocks #15,Educational/Cognitive,0-3 years,5-10 minutes,social,fantasy and adventure,68.26
Memory Matching Game #16,Educational/Cognitive,3-6 years,15-30 minutes,independent,animals and nature,12.09
Phonics Flashcards #17,Educational/Cognitive,0-3 years,15-30 minutes,social,fantasy and adventure,112.82
Logic Puzzle Set #18,Educational/Cognitive,6-9 years,15-30 minutes,social,animals and nature,119.67
Counting Beads #19,Educational/Cognitive,9-12 years,30+ minutes,independent,creative arts and expression,19.09
Tangram Starter #20,Educational/Cognitive,0-3 years,15-30 minutes,social,fantasy and adventure,50.42
Alphabet Puzzle #21,Educational/Cognitive,3-6 years,15-30 minutes,social,animals and nature,36.62
Tangram Starter #22,Educational/Cognitive,9-12 years,5-10 minutes,social,animals and nature,79.44
Magnetic Letters Set #23,Educational/Cognitive,3-6 years,15-30 minutes,independent,creative arts and expression,49.05
Brain Teaser Pack #24,Educational/Cognitive,0-3 years,15-30 minutes,social,fantasy and adventure,119.32
Time Teaching Clock #25,Educational/Cognitive,6-9 years,30+ minutes,social,creative arts and expression,60.16
Magnetic Letters Set #26,Educational/Cognitive,3-6 years,15-30 minutes,independent,creative arts and expression,25.68
STEM Logic Tiles #27,Educational/Cognitive,6-9 years,5-10 minutes,social,creative arts and expression,11.74
Magnetic Letters Set #28,Educational/Cognitive,3-6 years,15-30 minutes,social,animals and nature,16.52
Phonics Flashcards #29,Educational/Cognitive,3-6 years,15-30 minutes,social,animals and nature,92.87
Phonics Flashcards #30,Educational/Cognitive,6-9 years,30+ minutes,social,animals and nature,25.25
Vocabulary Builder Cards #31,Educational/Cognitive,3-6 years,15-30 minutes,social,fantasy and adventure,8.24
Story Sequencing Set #32,Educational/Cognitive,9-12 years,30+ minutes,social,animals and nature,101.22
Magnetic Letters Set #33,Educational/Cognitive,3-6 years,5-10 minutes,independent,animals and nature,31.75
Phonics Flashcards #34,Educational/Cognitive,0-3 years,5-10 minutes,independent,fantasy and adventure,28.17
Shape Sorting Board #35,Educational/Cognitive,3-6 years,5-10 minutes,social,creative arts and expression,11.85
Shape Sorting Board #36,Educational/Cognitive,6-9 years,30+ minutes,social,fantasy and adventure,103.98
Logic Puzzle Set #37,Educational/Cognitive,3-6 years,30+ minutes,social,animals and nature,43.7
STEM Logic Tiles #38,Educational/Cognitive,0-3 years,5-10 minutes,social,fantasy and adventure,115.48
STEM Logic Tiles #39,Educational/Cognitive,0-3 years,30+ minutes,social,fantasy and adventure,95.5
Phonics Flashcards #40,Educational/Cognitive,6-9 years,30+ minutes,social,fantasy and adventure,84.18
Shape Sorting Board #41,Educational/Cognitive,0-3 years,5-10 minutes,social,fantasy and adventure,50.03
Vocabulary Builder Cards #42,Educational/Cognitive,0-3 years,5-10 minutes,social,fantasy and adventure,30.4
Vocabulary Builder Cards #43,Educational/Cognitive,0-3 years,5-10 minutes,independent,animals and nature,32.37
STEM Logic Tiles #44,Educational/Cognitive,0-3 years,15-30 minutes,independent,fantasy and adventure,82.05
STEM Logic Tiles #45,Educational/Cognitive,3-6 years,5-10 minutes,independent,animals and nature,45.31
Memory Matching Game #46,Educational/Cognitive,6-9 years,5-10 minutes,social,creative arts and expression,116.45
Brain Teaser Pack #47,Educational/Cognitive,3-6 years,5-10 minutes,social,animals and nature,100.31
Vocabulary Builder Cards #48,Educational/Cognitive,6-9 years,30+ minutes,independent,animals and nature,96.91
Number Blocks #49,Educational/Cognitive,3-6 years,5-10 minutes,social,animals and nature,44.31
Color & Shape Bingo #50,Educational/Cognitive,0-3 years,5-10 minutes,social,animals and nature,43.86
Puzzle Box #51,Educational/Cognitive,9-12 years,30+ minutes,social,fantasy and adventure,23.97
Brain Teaser Pack #52,Educational/Cognitive,0-3 years,5-10 minutes,independent,animals and nature,52.07
Time Teaching Clock #53,Educational/Cognitive,6-9 years,30+ minutes,independent,creative arts and expression,39.2
Memory Matching Game #54,Educational/Cognitive,0-3 years,5-10 minutes,social,animals and nature,11.27
Alphabet Puzzle #55,Educational/Cognitive,3-6 years,5-10 minutes,social,fantasy and adventure,60.24
Memory Matching Game #56,Educational/Cognitive,0-3 years,5-10 minutes,independent,animals and nature,59.46
Memory Matching Game #57,Educational/Cognitive,3-6 years,5-10 minutes,social,fantasy and adventure,35.48
Time Teaching Clock #58,Educational/Cognitive,3-6 years,5-10 minutes,social,animals and nature,56.26
Early Math Board #59,Educational/Cognitive,3-6 years,5-10 minutes,social,fantasy and adventure,12.09
Memory Matching Game #60,Educational/Cognitive,0-3 years,5-10 minutes,social,fantasy and adventure,31.16
Number Blocks #61,Educational/Cognitive,6-9 years,30+ minutes,social,fantasy and adventure,84.01
Magnetic Letters Set #62,Educational/Cognitive,6-9 years,15-30 minutes,independent,creative arts and expression,108.82
Number Blocks #63,Educational/Cognitive,3-6 years,30+ minutes,social,fantasy and adventure,118.02
Shape Sorting Board #64,Educational/Cognitive,0-3 years,15-30 minutes,independent,animals and nature,116.8
Counting Beads #65,Educational/Cognitive,0-3 years,5-10 minutes,social,creative arts and expression,28.22
Shape Sorting Board #66,Educational/Cognitive,6-9 years,15-30 minutes,social,animals and nature,15.01
Time Teaching Clock #67,Educational/Cognitive,3-6 years,5-10 minutes,independent,creative arts and expression,110.47
Alphabet Puzzle #68,Educational/Cognitive,6-9 years,30+ minutes,social,creative arts and expression,17.94
Shape Sorting Board #69,Educational/Cognitive,0-3 years,5-10 minutes,social,animals and nature,111.37
Vocabulary Builder Cards #70,Educational/Cognitive,6-9 years,30+ minutes,social,creative arts and expression,105.96
Early Math Board #71,Educational/Cognitive,3-6 years,15-30 minutes,social,animals and nature,24.8
Color & Shape Bingo #72,Educational/Cognitive,0-3 years,5-10 minutes,social,animals and nature,50.52
STEM Logic Tiles #73,Educational/Cognitive,6-9 years,5-10 minutes,social,creative arts and expression,108.16
Alphabet Puzzle #74,Educational/Cognitive,3-6 years,15-30 minutes,independent,creative arts and expression,103.7
Memory Matching Game #75,Educational/Cognitive,9-12 years,15-30 minutes,independent,fantasy and adventure,55.96
STEM Logic Tiles #76,Educational/Cognitive,3-6 years,15-30 minutes,social,animals and nature,55.8
Brain Teaser Pack #77,Educational/Cognitive,6-9 years,30+ minutes,social,animals and nature,64.26
Pattern Blocks #78,Educational/Cognitive,0-3 years,15-30 minutes,social,fantasy and adventure,106.12
Alphabet Puzzle #79,Educational/Cognitive,0-3 years,15-30 minutes,independent,animals and nature,33.69
Tangram Starter #80,Educational/Cognitive,0-3 years,5-10 minutes,independent,creative arts and expression,99.7
Counting Train #81,Educational/Cognitive,3-6 years,30+ minutes,social,animals and nature,47.83
Puzzle Box #82,Educational/Cognitive,3-6 years,30+ minutes,social,fantasy and adventure,45.22
Pattern Blocks #83,Educational/Cognitive,6-9 years,15-30 minutes,social,animals and nature,37.78
Color & Shape Bingo #84,Educational/Cognitive,0-3 years,15-30 minutes,social,animals and nature,103.57
Phonics Flashcards #85,Educational/Cognitive,6-9 years,15-30 minutes,social,animals and nature,104.43
Alphabet Puzzle #86,Educational/Cognitive,3-6 years,5-10 minutes,independent,animals and nature,30.73
Puzzle Box #87,Educational/Cognitive,6-9 years,15-30 minutes,social,fantasy and adventure,36.67
Color & Shape Bingo #88,Educational/Cognitive,9-12 years,30+ minutes,independent,creative arts and expression,82.88
Puzzle Box #89,Educational/Cognitive,3-6 years,5-10 minutes,social,fantasy and adventure,116.15
Story Sequencing Set #90,Educational/Cognitive,6-9 years,15-30 minutes,independent,fantasy and adventure,17.43
Logic Puzzle Set #91,Educational/Cognitive,3-6 years,5-10 minutes,independent,creative arts and expression,35.03
Problem Solving Cards #92,Educational/Cognitive,0-3 years,5-10 minutes,independent,animals and nature,97.62
